src,dst,comm
0,15,1
0,3,7
1,35,3
1,24,4
1,39,9
1,2,6
2,4,7
2,31,6
3,16,4
3,19,1
3,13,5
3,17,9
4,11,9
4,33,9
4,6,8
4,31,6
5,32,1
5,33,1
5,10,7
6,29,3
6,32,7
6,35,8
7,19,6
8,33,1
8,24,9
8,10,5
9,33,4
9,25,8
9,14,2
10,20,2
10,34,3
11,30,2
11,14,5
11,16,3
12,28,5
12,39,4
12,21,6
13,31,10
13,23,1
13,24,1
13,29,1
14,36,9
14,20,5
14,15,9
14,18,7
15,17,4
16,19,6
16,39,10
16,18,6
16,37,8
17,29,9
17,22,3
18,35,3
19,20,4
20,27,6
20,21,1
21,33,7
21,29,3
21,22,1
22,26,2
22,28,9
23,29,1
23,37,9
23,27,1
23,36,4
24,29,6
24,30,9
25,31,5
25,30,10
26,27,10
26,34,2
26,39,5
27,29,3
27,33,6
27,35,10
27,38,8
28,31,8
28,33,1
28,30,10
28,32,9
29,31,8
29,36,8
30,34,6
30,31,5
30,33,10
30,37,1
31,34,2
31,35,7
32,35,2
33,39,10
33,35,4
34,36,5
34,39,7
34,35,7
34,37,10
35,37,10
35,38,1
35,36,9
35,39,2
36,39,2
36,37,2
37,38,4
37,39,6
38,39,5
