task,cost
0,30.87
1,20.72
2,13.5
3,19.23
4,43.11
5,16.11
6,27.47
7,19.51
8,42.56
9,48.18
10,31.16
11,40.32
12,26.24
13,22.73
14,38.94
15,11.03
16,33.02
17,42.05
18,20.79
19,21.04
20,20.55
21,54.68
22,40.14
23,9.08
24,28.82
25,30.38
26,25.47
27,43.42
28,40.46
29,24.16
30,25.19
31,30.65
32,20.25
33,25.85
34,40.07
35,24.48
36,53.16
37,21.11
38,19.87
39,51.54
40,22.14
41,24.2
42,55.34
43,48.41
44,19.57
45,12.23
46,35.05
47,28.51
48,23.25
49,36.64
50,19.39
51,53.93
52,47.85
53,29.25
54,38.98
55,46.97
56,9.25
57,39.69
58,42.15
59,28.9
60,20.28
61,16.38
62,12.15
63,40.79
64,26.98
65,28.24
66,24.75
67,17.07
68,14.09
69,13.72
70,19.37
71,26.35
72,16.85
73,22.77
74,30.0
75,22.56
76,15.22
77,13.71
78,54.2
79,19.37
