task,cost
0,53.47
1,19.82
2,21.44
3,24.04
4,35.62
5,34.79
6,11.87
7,32.55
8,47.47
9,43.67
10,19.87
11,34.43
12,28.54
13,12.39
14,27.54
15,20.02
16,20.96
17,17.77
18,24.06
19,35.13
20,55.85
21,23.5
22,31.07
23,19.5
24,57.64
25,16.14
26,26.25
27,23.64
28,11.98
29,37.51
30,47.3
31,18.29
32,34.57
33,28.14
34,23.89
35,49.72
36,14.9
37,59.18
38,7.84
39,33.35
40,27.77
41,12.23
42,19.32
43,10.82
44,20.02
45,36.76
46,34.47
47,13.01
48,35.19
49,35.12
50,45.09
51,15.36
52,14.18
53,19.44
54,13.71
55,11.55
56,19.35
57,15.18
58,20.05
59,18.51
60,19.27
61,15.83
62,41.99
63,22.5
64,51.29
65,27.52
66,46.91
67,15.48
68,31.12
69,28.27
