task,cost
0,32.16
1,42.22
2,28.25
3,56.51
4,35.99
5,24.1
6,55.71
7,33.74
8,18.76
9,35.01
10,42.63
11,41.79
12,23.23
13,10.75
14,27.03
15,14.6
16,24.57
17,26.75
18,15.51
19,19.25
20,37.41
21,49.01
22,33.37
23,31.21
24,54.28
25,46.27
26,9.33
27,13.33
28,44.99
29,25.5
30,45.21
31,39.39
32,45.6
33,40.51
34,41.19
35,43.5
36,42.19
37,27.43
38,35.21
39,50.22
40,16.11
41,27.88
42,24.9
43,43.86
44,24.82
45,36.07
46,10.11
47,30.08
48,28.68
49,28.36
50,27.19
51,31.33
52,34.54
53,26.35
54,16.51
55,49.23
56,22.6
57,57.43
58,13.55
59,42.63
60,45.75
61,43.73
62,22.01
63,16.11
64,44.24
65,26.2
66,40.68
67,18.07
68,25.9
69,45.45
70,23.18
71,39.37
72,18.31
73,40.34
74,33.97
75,27.64
76,36.7
77,27.21
78,16.89
79,20.41
80,14.18
81,12.07
82,19.75
83,19.87
84,41.93
85,9.84
86,26.46
87,29.41
88,39.47
89,23.52
