task,cost
0,10.92
1,51.47
2,42.32
3,51.02
4,34.59
5,41.31
6,27.83
7,53.69
8,22.4
9,47.32
10,25.54
11,20.6
12,58.62
13,10.8
14,46.52
15,26.71
16,39.78
17,37.31
18,44.43
19,34.04
20,47.03
21,48.88
22,32.95
23,14.08
24,14.09
25,45.52
26,27.55
27,44.27
28,45.53
29,33.21
30,38.56
31,16.45
32,54.07
33,32.51
34,28.59
35,56.35
36,24.6
37,17.1
38,28.75
39,49.88
40,13.92
41,49.25
42,44.28
43,44.06
44,37.82
45,57.91
46,39.11
47,15.16
48,21.85
49,28.12
50,41.87
51,46.03
52,11.77
53,30.03
54,12.36
55,43.19
56,30.68
57,16.87
58,27.45
59,19.42
60,25.53
61,13.11
62,33.95
63,36.55
64,37.81
65,55.11
66,35.62
67,29.54
68,26.48
69,25.6
