task,cost
0,12.2
1,32.49
2,46.61
3,24.24
4,36.39
5,10.17
6,24.28
7,12.74
8,28.61
9,49.32
10,49.42
11,59.5
12,13.45
13,32.42
14,42.0
15,21.83
16,52.41
17,19.92
18,11.3
19,35.1
20,27.43
21,33.42
22,45.98
23,44.34
24,12.54
25,14.3
26,27.38
27,14.11
28,32.03
29,39.95
30,21.78
31,14.44
32,24.81
33,29.03
34,29.31
35,15.27
36,37.83
37,39.96
38,58.21
39,18.28
40,10.93
41,18.5
42,30.43
43,38.25
44,12.7
45,44.56
46,34.45
47,50.75
48,26.5
49,15.58
50,25.68
51,14.27
52,55.27
53,12.81
54,30.35
55,38.61
56,12.93
57,15.6
58,19.48
59,27.38
60,55.72
61,27.27
62,18.93
63,30.45
64,15.84
65,15.96
66,13.45
67,11.04
68,48.84
69,37.27
