task,cost
0,34.94
1,46.49
2,15.56
3,33.68
4,44.4
5,48.15
6,37.82
7,19.78
8,41.79
9,24.83
10,42.37
11,56.82
12,47.54
13,29.09
14,19.22
15,33.1
16,24.7
17,41.1
18,22.3
19,14.06
20,21.58
21,16.19
22,54.4
23,15.38
24,24.44
25,20.51
26,31.04
27,42.62
28,27.05
29,41.57
30,33.48
31,51.57
32,36.43
33,39.53
34,45.35
35,31.82
36,52.36
37,47.29
38,40.57
39,26.69
40,8.27
41,18.49
42,32.45
43,42.72
44,29.95
45,17.63
46,20.96
47,19.1
48,33.71
49,20.9
50,31.4
51,25.84
52,16.89
53,61.88
54,15.55
55,31.61
56,45.66
57,40.52
58,23.35
59,30.13
60,44.36
61,14.72
62,15.66
63,14.43
64,30.86
65,24.49
66,20.0
67,32.29
68,24.11
69,36.98
70,14.91
71,8.79
72,39.08
73,22.81
74,41.09
75,41.83
76,8.16
77,49.61
78,11.54
79,23.43
