task,cost
0,10.75
1,44.83
2,46.2
3,31.0
4,13.0
5,47.32
6,16.37
7,20.25
8,38.75
9,12.16
10,49.41
11,28.8
12,28.01
13,52.64
14,11.28
15,25.42
16,45.31
17,19.74
18,56.45
19,53.91
20,13.77
21,16.53
22,37.69
23,46.99
24,30.25
25,34.91
26,14.33
27,24.26
28,22.47
29,42.09
30,29.4
31,50.17
32,22.7
33,34.68
34,50.14
35,18.98
36,12.41
37,16.55
38,36.02
39,36.81
40,41.26
41,20.36
42,36.81
43,42.05
44,10.02
45,25.39
46,22.78
47,36.78
48,23.82
49,9.12
50,21.4
51,37.59
52,34.45
53,19.4
54,45.21
55,34.92
56,18.42
57,52.08
58,27.12
59,42.69
60,22.26
61,19.82
62,27.95
63,17.37
64,26.09
65,56.73
66,44.98
67,17.04
68,30.2
69,38.34
