task,cost
0,22.27
1,13.31
2,52.68
3,19.14
4,45.8
5,43.43
6,50.26
7,42.33
8,19.3
9,25.41
10,41.36
11,47.27
12,37.95
13,20.37
14,39.72
15,19.93
16,34.57
17,52.08
18,37.82
19,16.66
20,23.38
21,25.91
22,28.3
23,24.28
24,44.84
25,40.66
26,16.17
27,29.27
28,38.59
29,46.05
30,45.06
31,18.14
32,26.62
33,32.14
34,33.05
35,25.27
36,20.86
37,20.91
38,23.41
39,12.18
40,16.94
41,20.74
42,34.44
43,18.71
44,23.05
45,43.78
46,24.0
47,18.4
48,30.04
49,22.13
50,17.97
51,14.74
52,42.19
53,15.83
54,42.65
55,41.5
56,12.14
57,58.82
58,20.12
59,38.72
