task,cost
0,23.0
1,51.22
2,28.7
3,22.38
4,15.75
5,11.95
6,35.84
7,46.84
8,14.49
9,18.62
10,54.8
11,18.03
12,37.45
13,45.71
14,48.22
15,14.95
16,39.34
17,40.05
18,48.62
19,23.62
20,18.76
21,39.41
22,13.17
23,19.05
24,18.15
25,45.61
26,15.37
27,13.28
28,30.02
29,29.55
30,41.72
31,16.76
32,33.38
33,33.0
34,25.23
35,12.5
36,37.99
37,11.57
38,41.91
39,20.15
40,16.68
41,11.41
42,35.49
43,32.95
44,36.71
45,56.85
46,31.0
47,17.02
48,21.15
49,38.38
50,41.93
51,14.6
52,48.82
53,42.11
54,44.51
55,40.17
56,41.92
57,9.86
58,44.13
59,20.95
60,43.82
61,29.12
62,8.19
63,29.23
64,25.72
65,24.99
66,50.62
67,14.99
68,19.18
69,38.87
70,21.74
71,36.89
72,43.68
73,28.89
74,15.67
75,26.8
76,28.0
77,19.33
78,27.59
79,9.81
