task,cost
0,40.62
1,21.35
2,48.66
3,20.35
4,28.97
5,11.67
6,23.34
7,20.79
8,11.97
9,19.19
10,31.14
11,36.7
12,29.95
13,13.79
14,35.57
15,19.06
16,47.6
17,19.02
18,41.22
19,38.2
20,12.92
21,25.87
22,26.77
23,30.62
24,20.44
25,11.08
26,39.65
27,38.08
28,24.56
29,15.0
30,21.12
31,36.06
32,23.19
33,39.34
34,10.73
35,22.03
36,27.58
37,26.76
38,59.41
39,21.85
40,42.29
41,15.45
42,12.91
43,38.95
44,47.57
45,49.73
46,11.61
47,50.45
48,29.53
49,26.98
50,31.07
51,35.45
52,11.78
53,44.52
54,22.01
55,40.2
56,33.73
57,17.15
58,19.63
59,17.42
60,14.45
61,29.7
62,16.51
63,40.1
64,11.48
65,21.24
66,10.8
67,21.26
68,11.74
69,24.81
