src,dst,comm
0,17,6
1,14,2
1,9,3
2,14,2
2,26,5
3,28,7
3,26,7
3,17,9
4,18,8
4,19,2
5,21,6
5,6,4
6,25,9
6,27,6
6,24,8
6,29,6
7,19,5
7,11,4
7,9,9
7,20,1
8,29,1
8,17,6
9,21,4
10,12,10
10,17,3
10,29,8
11,27,7
12,14,3
12,28,4
12,27,3
13,14,1
13,29,7
14,27,10
14,26,9
14,23,5
14,28,8
15,25,3
15,24,8
15,18,4
16,17,8
16,28,9
16,20,8
17,21,6
17,22,5
18,28,9
18,23,3
18,22,3
19,24,7
19,20,3
20,29,8
20,22,9
20,23,7
20,24,6
21,25,3
21,27,1
21,22,1
22,27,1
22,24,10
22,23,9
23,28,4
23,27,2
23,24,8
23,25,3
24,25,8
24,28,2
25,29,8
25,26,8
26,28,8
26,27,5
26,29,2
27,29,2
27,28,10
28,29,3
