task,cost
0,20.92
1,52.44
2,23.63
3,10.49
4,46.38
5,17.03
6,19.05
7,17.74
8,37.87
9,26.36
10,11.66
11,40.59
12,12.22
13,16.71
14,40.91
15,31.43
16,16.83
17,47.31
18,14.31
19,27.53
20,22.29
21,36.05
22,27.27
23,30.27
24,12.99
25,25.8
26,32.13
27,12.84
28,17.34
29,24.71
30,26.44
31,9.21
32,11.62
33,28.17
34,36.37
35,10.44
36,39.95
37,40.05
38,15.99
39,22.55
40,23.19
41,41.75
42,32.77
43,36.71
44,15.94
45,40.93
46,17.11
47,55.9
48,16.32
49,18.55
50,38.97
51,16.57
52,29.62
53,29.33
54,34.52
55,18.04
56,14.93
57,14.8
58,33.39
59,32.68
60,20.38
61,19.42
62,33.9
63,50.36
64,22.19
65,36.41
66,34.77
67,30.54
68,29.0
69,17.61
70,42.68
71,13.49
72,35.48
73,14.38
74,14.27
75,18.83
76,57.28
77,41.76
78,14.06
79,27.74
