task,cost
0,22.37
1,42.23
2,13.71
3,31.97
4,53.45
5,21.53
6,41.25
7,40.07
8,15.48
9,58.74
10,16.51
11,34.77
12,41.81
13,15.93
14,18.94
15,24.76
16,12.55
17,25.86
18,45.72
19,27.47
20,46.69
21,18.48
22,19.98
23,39.65
24,33.08
25,12.66
26,35.63
27,15.04
28,60.71
29,52.55
30,40.71
31,26.32
32,35.28
33,38.76
34,27.38
35,21.09
36,13.01
37,49.89
38,22.87
39,14.98
40,38.14
41,25.57
42,35.63
43,53.94
44,40.24
45,32.95
46,14.06
47,51.45
48,47.25
49,20.59
50,50.77
51,29.58
52,29.98
53,31.93
54,43.01
55,14.45
56,9.58
57,44.85
58,41.18
59,19.41
