task,cost
0,26.46
1,17.2
2,19.36
3,49.69
4,38.6
5,23.39
6,15.87
7,37.75
8,47.32
9,28.33
10,26.52
11,51.12
12,54.41
13,23.18
14,15.33
15,20.26
16,35.6
17,28.4
18,14.39
19,17.89
20,48.33
21,51.67
22,24.06
23,18.7
24,22.89
25,26.52
26,19.79
27,10.91
28,23.28
29,43.18
30,12.61
31,10.28
32,50.27
33,34.71
34,20.77
35,36.95
36,34.3
37,52.79
38,30.18
39,47.24
40,42.42
41,54.31
42,39.19
43,49.14
44,40.5
45,50.62
46,16.0
47,38.86
48,28.92
49,40.38
50,42.97
51,11.74
52,24.81
53,25.2
54,25.63
55,12.17
56,21.72
57,21.49
58,25.89
59,23.76
60,25.36
61,14.6
62,17.41
63,25.01
64,9.18
65,10.82
66,10.67
67,32.49
68,35.62
69,20.98
70,39.91
71,13.88
72,40.65
73,29.38
74,28.44
75,41.14
76,18.58
77,18.99
78,19.88
79,27.62
80,18.45
81,21.17
82,15.93
83,19.94
84,36.75
85,11.96
86,35.51
87,30.99
88,48.55
89,34.28
