task,cost
0,35.82
1,29.17
2,18.57
3,39.47
4,40.0
5,52.67
6,13.77
7,39.66
8,14.38
9,45.89
10,17.14
11,46.18
12,61.61
13,41.03
14,48.5
15,24.86
16,53.56
17,59.99
18,22.09
19,32.15
20,53.49
21,13.78
22,10.4
23,24.6
24,9.01
25,31.04
26,35.97
27,46.5
28,35.81
29,54.41
30,22.26
31,16.63
32,21.93
33,48.84
34,40.31
35,15.05
36,24.28
37,18.62
38,22.65
39,16.17
40,8.62
41,22.18
42,34.47
43,27.42
44,8.54
45,16.51
46,33.35
47,30.29
48,46.86
49,35.88
50,39.25
51,27.2
52,22.7
53,32.58
54,40.09
55,16.76
56,58.13
57,19.98
58,19.65
59,27.22
60,21.49
61,36.98
62,20.17
63,46.65
64,24.35
65,31.12
66,24.66
67,47.57
68,33.18
69,14.65
70,21.0
71,25.15
72,30.23
73,28.37
74,38.03
75,40.93
76,62.21
77,18.7
78,37.76
79,13.83
