task,cost
0,11.78
1,39.96
2,30.99
3,39.04
4,58.4
5,11.4
6,38.35
7,37.31
8,40.56
9,34.04
10,17.69
11,44.19
12,27.31
13,52.28
14,51.51
15,36.03
16,20.76
17,21.86
18,38.57
19,14.94
20,30.05
21,32.52
22,24.96
23,19.51
24,17.29
25,21.15
26,10.19
27,33.6
28,35.15
29,25.91
30,31.07
31,31.09
32,49.66
33,21.69
34,11.12
35,27.66
36,24.87
37,25.4
38,12.87
39,34.6
40,9.88
41,20.77
42,19.97
43,33.01
44,30.52
45,38.15
46,18.3
47,45.43
48,22.36
49,29.91
50,39.79
51,16.05
52,49.13
53,27.99
54,55.71
55,10.18
56,18.09
57,54.22
58,43.93
59,40.15
60,17.66
61,21.06
62,48.07
63,20.2
64,36.2
65,20.4
66,19.53
67,17.68
68,51.51
69,44.68
