src,dst,comm
0,21,5
0,7,7
0,52,4
0,35,5
1,65,5
2,54,1
2,29,4
2,8,5
3,28,2
3,16,1
3,31,8
3,21,10
4,57,6
5,30,10
5,23,1
5,31,5
5,12,5
6,62,1
7,60,8
7,53,1
7,21,10
7,26,6
8,67,3
8,59,2
8,25,9
8,35,2
9,52,8
10,55,1
10,57,8
10,66,9
10,58,1
11,14,1
12,25,6
13,65,6
14,55,10
14,39,8
14,37,3
14,34,2
15,52,10
16,61,10
16,63,2
16,43,3
16,31,1
17,25,6
18,59,7
18,26,4
18,39,2
19,61,9
19,29,9
20,26,10
21,47,10
21,48,2
21,34,8
21,26,3
22,47,9
23,67,10
23,43,5
23,57,8
24,44,1
24,42,8
25,47,10
25,36,9
25,44,6
26,47,3
26,61,7
27,53,6
28,37,4
29,46,8
29,32,5
29,52,5
30,50,4
30,58,3
30,60,7
31,60,9
32,45,8
33,49,4
33,38,6
34,65,7
34,54,2
34,52,2
34,41,3
35,59,1
35,68,8
36,65,6
36,41,10
37,62,7
37,58,1
37,49,1
38,57,4
38,68,3
38,61,2
38,67,1
39,48,6
39,55,9
40,57,5
40,63,8
40,69,5
40,44,4
41,42,5
41,54,4
41,50,3
41,59,7
42,53,10
42,47,3
43,52,2
43,45,1
44,55,4
44,48,3
45,50,6
45,52,8
45,57,9
45,69,4
46,56,8
46,65,6
47,65,6
47,50,1
47,61,1
48,60,1
48,51,6
48,49,1
48,57,7
49,67,7
49,60,1
49,54,9
49,69,9
50,60,1
51,61,7
52,56,9
52,59,2
53,58,10
54,65,2
54,64,9
55,59,2
56,57,3
56,66,10
56,63,10
57,62,9
57,63,8
57,58,4
57,61,1
58,65,3
58,63,7
58,66,6
58,69,10
59,62,6
59,64,9
59,68,2
59,66,10
60,61,10
60,62,3
60,69,7
60,63,3
61,65,4
62,66,1
63,69,10
63,68,2
64,66,10
64,67,8
64,65,1
64,68,8
65,69,1
66,67,6
66,69,8
67,69,8
68,69,9
