task,cost
0,26.91
1,11.98
2,13.28
3,15.75
4,12.3
5,23.77
6,10.94
7,8.69
8,15.12
9,28.81
10,11.05
11,36.39
12,9.46
13,12.87
14,57.61
15,44.0
16,35.32
17,9.47
18,18.52
19,19.35
20,12.92
21,35.41
22,29.67
23,27.19
24,30.0
25,48.32
26,33.62
27,20.53
28,36.48
29,32.11
30,18.18
31,10.99
32,41.96
33,44.76
34,28.31
35,23.72
36,43.54
37,41.8
38,26.94
39,34.56
40,47.93
41,47.83
42,51.13
43,11.7
44,21.25
45,35.41
46,20.53
47,34.94
48,38.28
49,16.64
50,47.07
51,31.02
52,31.88
53,21.88
54,20.57
55,47.85
56,49.38
57,37.58
58,44.74
59,38.22
60,40.63
61,18.33
62,40.08
63,32.69
64,41.9
65,41.26
66,21.57
67,31.24
68,49.34
69,17.73
