task,cost
0,15.73
1,17.46
2,16.97
3,56.03
4,25.44
5,17.2
6,35.34
7,26.53
8,21.89
9,35.87
10,39.77
11,20.48
12,26.28
13,32.56
14,32.54
15,37.87
16,49.78
17,58.52
18,15.66
19,12.31
20,27.55
21,43.0
22,29.03
23,42.21
24,38.75
25,37.13
26,31.52
27,52.99
28,57.3
29,38.8
30,52.97
31,31.45
32,33.21
33,20.81
34,10.79
35,39.94
36,9.89
37,18.49
38,7.75
39,43.67
40,27.6
41,53.24
42,51.06
43,40.54
44,20.83
45,10.3
46,25.7
47,9.91
48,12.8
49,27.06
50,51.73
51,14.82
52,44.65
53,35.94
54,36.3
55,37.82
56,23.59
57,16.28
58,41.05
59,25.68
60,38.54
61,46.71
62,17.51
63,7.6
64,43.56
65,11.62
66,33.88
67,30.69
68,19.52
69,55.41
