task,cost
0,45.19
1,29.46
2,26.93
3,11.88
4,19.67
5,25.25
6,21.55
7,25.25
8,20.08
9,23.87
10,40.87
11,30.57
12,47.56
13,24.98
14,23.29
15,40.68
16,24.95
17,13.69
18,10.12
19,22.03
20,24.99
21,26.52
22,31.86
23,28.02
24,15.21
25,25.69
26,39.13
27,42.13
28,33.09
29,41.69
30,47.69
31,48.69
32,48.61
33,13.11
34,43.29
35,17.11
36,20.3
37,21.43
38,42.39
39,24.62
40,10.07
41,31.08
42,53.31
43,56.78
44,31.9
45,43.04
46,44.85
47,37.64
48,18.56
49,18.02
50,44.38
51,30.29
52,15.73
53,19.55
54,26.32
55,31.58
56,15.78
57,15.6
58,21.84
59,39.97
60,17.91
61,35.47
62,35.59
63,28.11
64,15.62
65,10.84
66,29.33
67,36.46
68,29.68
69,22.46
