src,dst,comm
0,47,7
0,44,7
1,40,10
1,18,1
1,42,7
1,22,7
2,9,2
2,48,7
2,36,2
3,25,10
4,32,6
5,45,1
5,59,2
6,49,9
6,13,10
7,45,8
7,39,9
7,38,9
7,61,3
8,52,8
8,10,4
8,13,1
8,42,7
9,19,8
10,23,10
10,16,7
10,51,4
10,66,4
11,61,6
11,55,8
11,43,2
12,56,9
12,23,9
12,24,9
12,47,8
13,34,5
13,19,7
13,25,7
14,60,9
14,37,4
14,19,8
14,69,6
15,61,7
16,34,10
17,66,9
17,67,1
17,50,9
18,64,6
18,20,10
19,56,4
19,52,3
19,35,7
19,59,3
20,64,7
21,37,8
21,38,8
21,46,10
21,58,4
22,47,8
22,39,10
22,29,5
23,44,8
23,36,10
24,49,5
24,62,10
25,60,3
25,46,8
25,40,1
25,68,7
26,44,1
26,69,3
26,43,10
27,51,9
27,41,10
28,61,3
28,45,3
29,48,3
29,57,6
29,37,6
30,50,2
30,61,7
30,52,8
31,60,9
32,40,10
32,47,9
32,39,7
33,44,3
33,64,10
33,52,10
33,36,2
34,37,7
34,35,4
35,53,6
35,46,10
36,44,4
37,61,4
37,43,9
37,67,3
37,44,2
38,55,7
38,68,7
38,69,7
38,59,8
39,40,6
40,57,1
41,64,8
41,49,3
41,62,6
41,57,10
42,67,6
43,63,3
44,54,9
44,52,8
44,55,7
45,66,8
45,69,6
45,48,4
45,53,2
46,61,2
46,62,10
46,53,6
46,57,4
47,53,10
48,60,7
48,67,4
48,69,6
48,64,2
49,51,10
50,56,9
51,52,5
51,57,10
52,66,9
52,55,8
53,69,6
54,63,2
54,60,1
54,66,2
55,59,1
55,57,8
55,58,1
56,58,10
57,60,8
58,65,10
58,66,6
58,60,6
58,67,6
59,69,2
59,66,8
60,63,10
61,67,10
61,63,2
61,68,3
61,64,4
62,68,4
62,64,2
63,67,2
63,64,3
63,69,3
63,68,10
64,68,2
64,66,3
65,67,1
65,69,5
65,66,10
65,68,4
66,68,10
66,67,5
66,69,1
67,68,2
67,69,10
68,69,2
