task,cost
0,17.79
1,43.48
2,35.73
3,41.92
4,13.37
5,40.88
6,44.15
7,61.52
8,33.03
9,44.88
10,42.03
11,15.47
12,25.5
13,28.58
14,40.5
15,24.26
16,41.08
17,22.47
18,29.23
19,50.73
20,55.15
21,42.95
22,20.13
23,49.26
24,34.81
25,21.73
26,34.26
27,31.11
28,27.16
29,52.39
30,48.09
31,31.83
32,20.13
33,26.12
34,9.86
35,15.36
36,47.1
37,47.92
38,23.51
39,22.29
40,25.1
41,19.52
42,52.23
43,28.84
44,9.98
45,10.11
46,50.45
47,42.79
48,10.42
49,52.49
50,40.72
51,36.86
52,12.25
53,35.4
54,13.24
55,22.96
56,31.58
57,20.88
58,29.52
59,24.36
60,46.58
61,37.5
62,36.22
63,44.83
64,56.37
65,31.53
66,37.15
67,30.81
68,17.96
69,29.97
70,25.39
71,28.17
72,24.73
73,48.06
74,37.68
75,28.47
76,50.91
77,11.18
78,30.84
79,51.91
80,47.42
81,20.88
82,17.95
83,41.01
84,19.47
85,44.58
86,55.39
87,39.66
88,35.09
89,34.31
90,19.89
91,45.35
92,46.04
93,25.74
94,16.49
95,19.4
96,37.8
97,20.57
98,37.78
99,43.82
