task,cost
0,17.03
1,25.14
2,38.86
3,25.54
4,12.3
5,34.75
6,23.6
7,27.79
8,12.87
9,19.17
10,38.94
11,24.75
12,30.79
13,12.46
14,41.71
15,42.11
16,46.84
17,35.83
18,26.49
19,22.87
20,46.06
21,32.73
22,10.08
23,13.59
24,32.31
25,55.72
26,39.35
27,11.33
28,26.04
29,37.4
30,22.96
31,12.48
32,42.1
33,48.35
34,29.92
35,27.0
36,21.15
37,25.78
38,22.4
39,22.56
40,13.41
41,49.56
42,42.96
43,42.42
44,14.26
45,36.01
46,16.01
47,35.63
48,24.17
49,26.22
50,48.3
51,55.94
52,29.22
53,52.42
54,42.94
55,26.81
56,17.65
57,38.74
58,34.59
59,56.13
60,23.58
61,41.12
62,54.25
63,9.22
64,25.13
65,22.58
66,19.33
67,13.31
68,40.02
69,35.19
70,21.6
71,33.58
72,21.87
73,26.61
74,22.94
75,34.24
76,23.59
77,54.84
78,55.01
79,29.91
