task,cost
0,22.1
1,41.89
2,31.38
3,10.4
4,36.4
5,15.53
6,11.28
7,26.78
8,35.58
9,19.25
10,12.03
11,30.4
12,11.62
13,30.21
14,56.92
15,43.5
16,27.27
17,30.0
18,47.97
19,26.7
20,16.63
21,10.69
22,35.95
23,25.38
24,24.56
25,22.65
26,9.56
27,23.46
28,50.93
29,51.22
30,42.41
31,56.12
32,52.05
33,12.83
34,18.64
35,34.61
36,39.51
37,25.11
38,36.81
39,33.99
40,12.99
41,33.74
42,23.67
43,33.2
44,14.71
45,20.3
46,48.56
47,12.21
48,51.21
49,8.91
50,48.4
51,21.2
52,46.22
53,37.98
54,47.15
55,17.6
56,45.68
57,11.71
58,10.15
59,59.16
60,23.17
61,21.88
62,43.24
63,23.97
64,56.67
65,56.89
66,34.12
67,58.66
68,23.32
69,32.26
70,38.0
71,20.35
72,36.8
73,54.41
74,44.33
75,33.41
76,10.22
77,30.53
78,40.96
79,36.1
