src,dst,comm
0,39,8
1,29,3
1,59,6
1,38,8
2,58,4
3,58,4
3,5,2
3,11,9
4,41,4
4,17,3
4,8,5
4,11,6
5,11,3
5,44,9
5,20,1
5,46,9
6,30,5
7,11,6
7,26,7
7,52,6
8,17,5
9,58,5
9,14,1
9,52,5
10,38,6
11,42,3
11,54,6
12,27,1
13,32,10
14,24,10
14,28,8
14,31,10
14,29,3
15,50,9
15,38,5
15,27,4
15,43,3
16,35,6
16,56,2
17,30,4
18,54,10
18,28,4
18,39,6
19,46,5
19,34,3
20,25,2
20,42,4
21,32,2
21,52,6
21,29,7
21,31,8
22,35,4
22,41,2
23,27,7
23,48,9
23,45,7
24,45,8
25,36,8
26,54,4
26,37,10
26,47,2
26,52,5
27,44,10
27,52,3
27,34,7
27,35,1
28,42,5
28,41,9
28,39,2
29,52,4
29,46,5
29,59,7
29,35,8
30,50,2
30,35,8
30,49,10
30,52,10
31,53,7
31,35,9
31,49,3
32,52,8
32,57,3
32,41,9
32,58,3
33,59,2
33,49,3
34,55,4
35,52,3
36,45,2
36,43,6
36,56,9
37,54,2
37,45,4
37,38,9
38,56,3
38,55,1
38,59,5
38,58,10
39,52,5
39,58,4
39,57,7
40,44,2
40,48,6
40,50,8
41,49,1
41,57,6
41,53,5
41,48,7
42,47,3
42,43,6
42,48,4
43,58,6
44,57,2
44,58,6
45,56,8
45,52,4
45,48,2
46,50,7
46,56,1
46,51,5
46,57,9
47,57,6
47,50,10
48,57,7
48,49,1
49,58,5
50,57,2
50,53,10
50,51,10
50,55,7
51,59,1
51,57,4
51,58,7
51,52,2
52,56,5
52,57,8
53,57,3
53,55,8
53,54,6
54,58,2
54,59,8
54,56,7
55,59,10
55,56,10
56,58,1
56,59,10
57,58,6
58,59,1
