task,cost
0,43.64
1,31.04
2,36.94
3,27.12
4,26.23
5,21.0
6,13.6
7,46.22
8,32.28
9,32.93
10,8.99
11,16.63
12,21.05
13,49.58
14,25.27
15,30.29
16,18.61
17,31.2
18,21.11
19,38.41
20,17.08
21,27.9
22,37.68
23,56.63
24,28.71
25,27.03
26,37.92
27,44.72
28,23.86
29,33.46
30,27.5
31,25.98
32,22.34
33,11.76
34,10.56
35,10.95
36,19.16
37,12.2
38,45.59
39,51.11
40,13.69
41,42.48
42,14.54
43,26.68
44,42.3
45,39.39
46,36.91
47,40.91
48,7.7
49,41.22
50,30.64
51,16.22
52,48.66
53,53.62
54,37.12
55,10.53
56,14.55
57,10.88
58,17.58
59,55.91
60,42.91
61,21.09
62,27.47
63,43.83
64,18.8
65,55.78
66,21.22
67,17.69
68,26.88
69,45.35
70,30.09
71,15.75
72,44.62
73,31.06
74,31.92
75,53.85
76,16.3
77,22.73
78,32.62
79,16.95
80,32.32
81,26.34
82,43.61
83,27.0
84,11.05
85,33.67
86,41.42
87,16.47
88,20.09
89,37.46
90,19.6
91,24.91
92,44.87
93,14.33
94,13.93
95,41.78
96,44.14
97,32.41
98,12.98
99,19.9
