task,cost
0,34.56
1,26.64
2,23.97
3,26.88
4,36.07
5,10.18
6,42.42
7,36.86
8,32.8
9,11.15
10,49.46
11,28.01
12,19.51
13,31.26
14,28.27
15,37.38
16,16.19
17,38.95
18,34.4
19,14.3
20,40.54
21,35.51
22,23.67
23,9.03
24,26.62
25,30.09
26,9.37
27,41.89
28,23.41
29,12.26
30,13.94
31,36.39
32,17.52
33,31.13
34,24.27
35,12.92
36,30.3
37,47.7
38,47.5
39,12.58
40,13.57
41,11.07
42,29.72
43,9.53
44,43.18
45,42.9
46,17.44
47,28.4
48,20.3
49,44.59
50,40.13
51,57.92
52,21.22
53,24.02
54,14.05
55,40.64
56,30.57
57,25.03
58,19.97
59,18.73
60,28.62
61,28.36
62,17.1
63,35.38
64,13.0
65,34.38
66,11.3
67,23.33
68,14.89
69,23.89
70,15.32
71,31.31
72,47.68
73,40.15
74,16.79
75,23.72
76,17.14
77,26.7
78,28.6
79,13.58
80,25.08
81,40.11
82,39.21
83,26.45
84,13.57
85,30.61
86,26.09
87,22.11
88,34.33
89,27.32
90,16.56
91,26.25
92,48.57
93,16.3
94,21.24
95,19.32
96,25.94
97,19.47
98,36.41
99,53.05
