task,cost
0,10.14
1,29.8
2,36.78
3,37.1
4,38.23
5,12.32
6,39.34
7,36.61
8,23.41
9,47.15
10,26.66
11,39.55
12,52.15
13,15.67
14,29.2
15,21.1
16,24.37
17,33.62
18,50.12
19,38.81
20,37.05
21,11.06
22,53.61
23,24.5
24,29.33
25,47.4
26,29.85
27,38.59
28,10.89
29,35.71
30,31.99
31,35.37
32,43.06
33,39.24
34,14.69
35,23.29
36,8.47
37,12.31
38,40.32
39,50.65
40,54.43
41,28.62
42,8.56
43,16.84
44,30.51
45,30.17
46,8.39
47,41.18
48,53.01
49,12.06
50,17.97
51,17.43
52,53.14
53,33.81
54,29.77
55,9.28
56,55.56
57,47.18
58,50.97
59,19.88
