task,cost
0,28.25
1,33.84
2,22.41
3,22.96
4,23.55
5,36.14
6,23.39
7,29.21
8,12.93
9,43.55
10,18.18
11,17.96
12,16.51
13,33.12
14,18.12
15,21.73
16,45.61
17,20.53
18,28.93
19,26.29
20,16.77
21,17.47
22,16.96
23,31.6
24,11.7
25,17.52
26,43.49
27,52.99
28,40.83
29,30.57
30,15.41
31,24.91
32,14.79
33,56.55
34,27.11
35,39.13
36,56.56
37,23.17
38,52.68
39,36.5
40,53.73
41,12.57
42,22.86
43,15.45
44,49.5
45,26.1
46,19.76
47,48.59
48,27.39
49,35.85
50,19.56
51,54.94
52,36.7
53,8.95
54,15.64
55,14.82
56,33.52
57,20.06
58,28.52
59,49.55
60,22.29
61,10.51
62,50.26
63,27.66
64,15.2
65,9.26
66,53.01
67,9.02
68,47.3
69,9.75
70,37.83
71,50.12
72,37.29
73,13.45
74,43.75
75,11.56
76,30.27
77,16.2
78,40.38
79,27.57
80,55.78
81,41.03
82,44.45
83,16.72
84,31.37
85,18.99
86,42.41
87,9.29
88,46.36
89,15.73
90,49.41
91,42.43
92,13.53
93,34.12
94,32.44
95,18.16
96,12.9
97,28.76
98,14.79
99,46.61
