src,dst,comm
0,10,1
0,51,4
1,61,10
2,64,2
2,32,5
2,26,5
2,57,8
3,8,10
3,47,6
4,64,10
4,57,1
4,68,5
5,19,4
6,44,3
6,14,8
7,53,6
7,57,10
7,25,9
8,56,2
8,20,10
9,28,5
9,55,7
10,55,5
10,62,9
10,15,7
11,52,4
12,21,9
12,62,2
12,31,2
12,40,5
13,22,3
13,58,1
13,57,5
13,17,3
14,15,5
15,19,10
15,43,1
15,39,6
15,40,2
16,20,4
17,18,4
17,42,4
18,64,8
19,48,10
19,26,6
19,34,8
19,24,10
20,39,3
20,28,2
20,69,6
20,43,3
21,67,7
21,45,8
21,56,8
21,25,2
22,60,2
23,62,7
23,69,10
24,62,4
25,27,9
25,55,10
26,41,6
26,61,6
26,67,5
26,38,7
27,59,10
27,69,3
27,44,7
27,32,6
28,33,5
28,49,5
28,69,1
29,36,6
29,48,2
29,61,8
29,66,6
30,56,9
30,51,10
30,53,8
31,45,6
31,41,6
31,58,10
32,57,7
32,60,3
32,65,8
33,66,1
33,49,10
34,65,5
34,49,6
34,40,9
35,38,7
35,65,2
35,64,4
35,61,2
36,69,3
36,66,2
37,48,4
38,65,6
38,41,3
39,51,6
39,42,7
40,59,3
40,57,1
40,49,1
41,59,10
42,62,9
42,68,5
42,64,10
43,61,8
43,45,4
44,66,7
44,62,9
45,49,3
45,67,10
45,60,5
46,61,2
46,67,8
46,55,4
47,56,6
47,54,4
48,65,5
48,59,6
48,69,2
48,67,3
49,55,1
49,69,6
49,62,6
49,59,10
50,57,7
51,53,2
51,60,6
52,56,5
52,67,2
53,67,6
54,68,5
55,69,9
55,57,7
56,66,7
56,68,7
56,60,4
56,69,9
57,69,5
57,64,2
57,66,4
57,60,8
58,62,5
58,67,3
58,59,5
59,63,8
59,66,1
59,68,8
59,62,3
60,65,3
61,68,6
61,63,10
61,62,5
61,64,9
62,64,4
62,69,1
63,65,2
64,67,5
64,68,3
64,69,3
64,66,1
65,66,9
65,67,2
65,69,8
66,68,1
66,69,9
66,67,2
67,68,1
67,69,9
68,69,2
