task,cost
0,42.01
1,16.11
2,14.69
3,23.83
4,31.46
5,37.95
6,51.62
7,9.87
8,12.11
9,42.89
10,28.36
11,9.31
12,34.16
13,30.06
14,40.84
15,15.63
16,51.55
17,18.18
18,23.35
19,54.92
20,22.82
21,45.89
22,25.05
23,57.42
24,32.29
25,42.61
26,30.85
27,19.82
28,15.28
29,32.03
30,25.99
31,20.67
32,38.6
33,44.71
34,30.95
35,12.32
36,10.36
37,39.37
38,34.74
39,33.8
40,22.69
41,12.88
42,13.19
43,20.85
44,13.97
45,17.54
46,32.37
47,21.81
48,9.83
49,33.56
50,44.7
51,20.25
52,22.73
53,49.96
54,14.66
55,28.37
56,32.31
57,38.51
58,54.93
59,20.85
60,45.35
61,27.88
62,39.11
63,14.94
64,19.62
65,44.34
66,37.06
67,13.02
68,22.35
69,32.55
70,49.24
71,36.72
72,33.1
73,48.83
74,28.55
75,26.07
76,25.91
77,38.3
78,34.44
79,10.25
