task,cost
0,24.26
1,8.6
2,47.25
3,16.4
4,12.24
5,52.01
6,36.2
7,37.94
8,45.39
9,36.63
10,11.93
11,37.99
12,25.52
13,11.9
14,48.87
15,48.73
16,14.98
17,19.47
18,49.2
19,27.49
20,10.11
21,33.33
22,46.8
23,27.8
24,30.15
25,22.34
26,11.54
27,15.64
28,49.22
29,34.55
30,28.9
31,46.14
32,17.52
33,21.37
34,58.83
35,47.36
36,39.87
37,43.74
38,21.78
39,17.67
40,12.56
41,55.73
42,14.7
43,46.13
44,51.65
45,15.3
46,37.83
47,37.23
48,20.53
49,31.05
50,24.76
51,10.69
52,36.7
53,13.55
54,28.3
55,14.86
56,42.86
57,21.52
58,55.6
59,14.91
60,25.64
61,39.3
62,16.55
63,33.36
64,46.14
65,21.21
66,37.34
67,51.31
68,17.3
69,22.03
70,46.14
71,28.44
72,21.82
73,38.9
74,42.84
75,54.54
76,37.72
77,19.0
78,13.79
79,56.63
