task,cost
0,16.8
1,24.18
2,17.23
3,36.98
4,44.71
5,15.84
6,33.11
7,43.09
8,40.74
9,53.77
10,20.53
11,51.86
12,47.95
13,29.75
14,31.3
15,18.65
16,32.63
17,11.43
18,53.4
19,44.37
20,49.57
21,30.91
22,12.97
23,30.52
24,17.98
25,56.7
26,32.06
27,59.1
28,47.79
29,18.64
30,9.88
31,14.36
32,34.9
33,17.19
34,40.99
35,20.66
36,22.6
37,40.53
38,28.35
39,28.31
40,18.12
41,13.56
42,17.91
43,39.54
44,23.87
45,34.07
46,23.76
47,22.88
48,15.85
49,13.3
50,21.88
51,22.43
52,39.85
53,13.78
54,9.52
55,21.33
56,14.05
57,37.93
58,38.52
59,27.86
60,55.58
61,34.44
62,27.27
63,12.81
64,39.49
65,38.41
66,51.86
67,51.8
68,42.38
69,18.58
70,13.32
71,46.77
72,15.91
73,35.25
74,20.63
75,40.08
76,42.48
77,30.95
78,37.37
79,61.36
80,19.54
81,18.05
82,21.73
83,27.05
84,8.31
85,33.3
86,36.15
87,10.9
88,26.35
89,38.97
90,54.38
91,14.71
92,19.92
93,20.67
94,27.44
95,50.08
96,15.05
97,41.83
98,15.14
99,23.42
