task,cost
0,36.22
1,44.39
2,42.19
3,7.8
4,18.83
5,35.91
6,16.12
7,37.21
8,24.42
9,48.09
10,13.12
11,35.26
12,24.25
13,20.3
14,36.22
15,38.32
16,34.38
17,14.93
18,37.23
19,19.45
20,14.18
21,21.82
22,35.96
23,16.55
24,11.83
25,13.72
26,11.56
27,35.47
28,30.96
29,15.32
30,19.49
31,20.1
32,46.46
33,33.66
34,22.57
35,32.51
36,51.67
37,47.61
38,16.27
39,10.01
40,35.65
41,16.61
42,19.62
43,40.23
44,37.68
45,38.51
46,26.99
47,28.74
48,29.82
49,34.46
50,24.9
51,24.17
52,31.63
53,19.93
54,30.35
55,20.57
56,8.26
57,29.16
58,42.07
59,32.87
60,35.91
61,19.24
62,33.62
63,13.26
64,24.2
65,31.36
66,35.31
67,18.57
68,48.29
69,28.03
