task,cost
0,36.33
1,25.77
2,57.21
3,26.72
4,21.27
5,40.36
6,9.94
7,39.36
8,58.48
9,15.46
10,32.05
11,56.45
12,13.19
13,36.77
14,37.33
15,37.1
16,52.17
17,23.38
18,41.13
19,33.65
20,29.21
21,12.59
22,23.47
23,18.04
24,26.31
25,32.41
26,15.9
27,13.52
28,37.31
29,35.99
30,22.47
31,12.85
32,26.25
33,49.51
34,15.14
35,27.3
36,20.48
37,13.28
38,41.81
39,13.0
40,43.49
41,16.54
42,16.7
43,59.39
44,22.97
45,44.38
46,11.95
47,40.68
48,48.51
49,10.74
50,39.15
51,26.46
52,22.01
53,44.61
54,47.49
55,22.0
56,10.36
57,12.69
58,10.89
59,20.82
