task,cost
0,26.54
1,27.21
2,46.46
3,36.93
4,36.51
5,14.37
6,35.89
7,23.44
8,31.48
9,39.17
10,13.56
11,43.59
12,20.26
13,30.63
14,15.46
15,51.52
16,16.49
17,37.05
18,51.64
19,53.25
20,16.66
21,19.31
22,22.49
23,44.73
24,33.01
25,21.55
26,24.94
27,27.59
28,30.31
29,37.94
30,10.76
31,50.83
32,41.36
33,32.26
34,26.6
35,17.23
36,41.26
37,28.95
38,18.65
39,36.62
40,28.18
41,19.02
42,13.26
43,24.25
44,54.16
45,25.89
46,28.94
47,44.27
48,34.36
49,18.73
50,32.99
51,43.44
52,29.83
53,15.21
54,39.4
55,21.17
56,15.18
57,18.69
58,32.05
59,28.56
