task,cost
0,34.57
1,25.0
2,21.09
3,53.53
4,18.88
5,19.11
6,25.28
7,34.01
8,50.95
9,21.49
10,15.51
11,12.39
12,39.96
13,45.84
14,24.36
15,28.14
16,10.96
17,26.13
18,16.85
19,27.38
20,10.81
21,27.61
22,18.52
23,15.71
24,14.85
25,27.57
26,24.98
27,35.27
28,24.3
29,29.54
30,32.45
31,46.66
32,24.54
33,16.41
34,34.66
35,42.36
36,42.36
37,12.55
38,26.14
39,31.51
40,52.75
41,20.76
42,29.65
43,44.51
44,29.21
45,7.91
46,39.05
47,13.4
48,36.46
49,48.17
50,41.7
51,39.15
52,16.9
53,18.51
54,24.91
55,23.95
56,42.63
57,16.63
58,7.7
59,32.36
60,22.57
61,28.53
62,10.48
63,23.29
64,24.47
65,32.44
66,31.71
67,44.22
68,23.29
69,24.19
70,33.26
71,15.04
72,32.15
73,33.76
74,33.58
75,35.52
76,41.78
77,22.89
78,46.5
79,11.65
80,41.51
81,41.22
82,17.34
83,55.12
84,36.65
85,30.1
86,34.86
87,40.7
88,25.52
89,36.49
90,34.17
91,26.45
92,18.11
93,31.24
94,18.9
95,9.7
96,35.75
97,22.8
98,10.98
99,14.45
