task,cost
0,18.09
1,31.11
2,47.14
3,16.09
4,42.23
5,27.91
6,52.72
7,22.44
8,22.31
9,41.91
10,40.92
11,11.5
12,8.74
13,47.69
14,20.64
15,46.41
16,16.2
17,12.99
18,46.33
19,41.91
20,19.21
21,10.75
22,15.6
23,33.05
24,14.49
25,28.5
26,9.82
27,11.96
28,29.78
29,21.74
30,27.26
31,39.84
32,22.47
33,41.31
34,18.93
35,55.73
36,29.43
37,31.13
38,37.96
39,55.8
40,33.96
41,41.61
42,24.93
43,33.12
44,27.59
45,34.25
46,11.17
47,35.9
48,16.61
49,12.94
50,28.78
51,22.95
52,10.13
53,37.87
54,27.45
55,21.25
56,45.44
57,15.86
58,9.63
59,18.45
