task,cost
0,12.31
1,43.52
2,23.63
3,10.58
4,25.24
5,26.71
6,37.0
7,27.22
8,32.42
9,16.91
10,22.27
11,58.84
12,27.72
13,32.57
14,30.03
15,12.22
16,56.11
17,20.64
18,32.42
19,24.34
20,16.36
21,31.63
22,26.43
23,12.19
24,10.5
25,13.54
26,15.98
27,20.89
28,13.06
29,33.34
30,20.88
31,14.95
32,44.15
33,55.7
34,13.93
35,12.46
36,13.43
37,49.46
38,51.19
39,30.02
40,43.0
41,45.68
42,9.6
43,27.33
44,34.49
45,51.59
46,33.81
47,27.72
48,37.49
49,35.22
50,21.84
51,19.01
52,35.87
53,36.56
54,24.42
55,29.92
56,53.75
57,24.13
58,16.11
59,36.05
60,47.91
61,15.87
62,51.85
63,21.78
64,9.9
65,15.59
66,27.8
67,13.7
68,30.27
69,27.7
70,44.74
71,31.07
72,40.21
73,19.7
74,37.52
75,39.54
76,16.0
77,48.05
78,28.95
79,44.4
80,10.81
81,10.72
82,26.35
83,24.09
84,23.77
85,34.37
86,14.18
87,37.0
88,30.4
89,46.44
90,9.6
91,15.55
92,33.19
93,38.63
94,22.39
95,27.79
96,30.04
97,22.76
98,19.47
99,20.97
