task,cost
0,40.35
1,22.94
2,45.69
3,22.62
4,25.57
5,44.75
6,28.07
7,16.31
8,27.43
9,51.79
10,33.26
11,43.51
12,36.96
13,29.76
14,37.24
15,27.73
16,43.65
17,31.73
18,35.73
19,15.56
20,23.29
21,32.8
22,16.13
23,41.85
24,18.33
25,17.83
26,49.14
27,27.01
28,48.33
29,12.65
30,31.86
31,14.4
32,42.46
33,29.11
34,14.41
35,62.14
36,42.89
37,25.65
38,41.49
39,44.49
40,43.68
41,10.08
42,50.47
43,11.93
44,11.75
45,46.52
46,31.72
47,43.59
48,60.56
49,26.98
50,32.88
51,31.57
52,22.75
53,50.65
54,14.91
55,45.01
56,26.9
57,40.51
58,11.32
59,48.01
60,12.05
61,43.97
62,45.92
63,22.11
64,33.93
65,15.63
66,19.66
67,13.26
68,37.52
69,16.77
70,47.87
71,31.29
72,48.6
73,28.52
74,49.02
75,17.82
76,38.61
77,34.36
78,48.6
79,16.39
