task,cost
0,33.55
1,11.56
2,36.44
3,42.56
4,16.62
5,27.68
6,13.76
7,11.48
8,10.63
9,17.58
10,53.69
11,12.9
12,21.38
13,25.95
14,7.82
15,11.33
16,43.72
17,40.43
18,38.0
19,15.67
20,46.24
21,18.99
22,30.26
23,32.91
24,35.15
25,29.28
26,21.1
27,9.85
28,33.29
29,52.81
30,22.35
31,58.9
32,49.04
33,30.07
34,23.4
35,14.92
36,30.98
37,14.95
38,23.17
39,20.6
40,18.54
41,50.76
42,19.49
43,52.85
44,13.52
45,45.77
46,38.24
47,28.53
48,14.37
49,18.18
50,29.39
51,22.85
52,30.6
53,15.72
54,29.57
55,20.26
56,10.83
57,53.25
58,25.37
59,48.93
60,52.07
61,14.23
62,28.49
63,20.29
64,12.19
65,28.16
66,28.07
67,36.99
68,21.96
69,55.53
70,22.55
71,13.8
72,23.92
73,32.08
74,24.42
75,10.37
76,32.14
77,37.12
78,27.38
79,44.27
80,49.03
81,12.16
82,35.35
83,21.58
84,27.15
85,45.18
86,11.83
87,26.44
88,21.56
89,25.99
90,19.89
91,9.2
92,49.76
93,34.69
94,35.52
95,35.69
96,9.96
97,39.39
98,16.23
99,35.61
