task,cost
0,12.12
1,31.61
2,23.63
3,27.86
4,32.86
5,30.97
6,13.36
7,30.37
8,10.72
9,19.64
10,32.13
11,38.72
12,23.43
13,26.46
14,15.76
15,26.48
16,26.4
17,56.52
18,41.12
19,24.81
20,25.09
21,35.85
22,23.65
23,42.44
24,13.82
25,32.71
26,19.94
27,11.17
28,54.82
29,23.69
30,34.06
31,54.95
32,12.42
33,45.03
34,15.68
35,26.68
36,28.26
37,54.58
38,25.94
39,14.77
40,21.32
41,39.59
42,38.36
43,22.84
44,45.78
45,19.63
46,25.66
47,23.93
48,58.24
49,15.39
50,26.57
51,15.26
52,30.57
53,48.16
54,14.21
55,12.04
56,34.92
57,24.62
58,37.37
59,24.56
60,31.38
61,37.96
62,36.1
63,40.61
64,33.62
65,29.62
66,41.94
67,13.89
68,22.96
69,40.34
70,12.92
71,40.16
72,14.35
73,39.55
74,18.21
75,26.03
76,59.03
77,22.84
78,19.46
79,40.71
80,52.1
81,43.79
82,35.43
83,54.61
84,38.58
85,37.29
86,45.51
87,15.18
88,19.98
89,8.96
