task,cost
0,54.65
1,36.01
2,27.73
3,33.11
4,26.8
5,35.57
6,32.78
7,8.73
8,43.6
9,21.83
10,31.94
11,27.21
12,19.93
13,12.41
14,32.09
15,39.74
16,34.49
17,40.35
18,16.5
19,22.11
20,56.48
21,28.68
22,11.28
23,29.6
24,37.17
25,11.89
26,30.29
27,12.13
28,37.91
29,16.26
30,21.01
31,9.86
32,44.14
33,43.84
34,28.94
35,28.02
36,26.44
37,46.03
38,34.64
39,53.54
40,11.81
41,39.13
42,29.89
43,23.93
44,36.39
45,19.89
46,32.76
47,16.78
48,17.49
49,30.34
50,26.85
51,10.91
52,32.27
53,35.96
54,55.82
55,45.75
56,42.95
57,40.37
58,15.36
59,40.98
