task,cost
0,42.28
1,32.8
2,23.13
3,35.05
4,14.54
5,57.27
6,33.95
7,48.46
8,15.47
9,36.23
10,16.39
11,10.39
12,27.0
13,38.66
14,24.04
15,15.38
16,27.98
17,37.97
18,20.72
19,31.1
20,34.83
21,46.71
22,36.2
23,13.14
24,26.02
25,19.9
26,20.15
27,29.21
28,25.29
29,20.91
30,26.9
31,23.89
32,20.41
33,40.19
34,49.86
35,13.11
36,31.83
37,25.54
38,38.69
39,11.19
40,15.45
41,18.95
42,24.78
43,40.19
44,56.75
45,26.6
46,16.47
47,23.07
48,35.12
49,15.04
50,53.77
51,13.36
52,44.87
53,17.46
54,10.42
55,23.42
56,31.36
57,27.75
58,34.11
59,26.96
