task,cost
0,18.74
1,45.98
2,11.06
3,19.01
4,35.08
5,46.31
6,22.4
7,16.63
8,32.53
9,32.66
10,35.66
11,44.53
12,12.26
13,19.46
14,22.91
15,21.39
16,24.85
17,15.32
18,16.69
19,7.89
20,16.38
21,26.48
22,36.09
23,56.62
24,47.87
25,30.71
26,41.74
27,36.1
28,34.03
29,10.69
30,25.78
31,40.73
32,51.23
33,24.4
34,14.47
35,7.87
36,34.62
37,31.36
38,18.38
39,31.29
40,51.94
41,46.62
42,38.03
43,34.66
44,48.56
45,29.19
46,35.64
47,8.53
48,35.33
49,35.42
50,41.57
51,18.6
52,29.96
53,35.62
54,34.95
55,16.47
56,44.36
57,27.17
58,16.93
59,46.29
60,13.64
61,13.73
62,14.1
63,14.32
64,29.18
65,20.53
66,26.37
67,16.27
68,48.62
69,25.75
