task,cost
0,41.44
1,18.41
2,14.79
3,24.95
4,31.34
5,51.41
6,14.09
7,24.94
8,34.24
9,41.6
10,23.9
11,12.65
12,25.72
13,23.06
14,23.33
15,24.48
16,53.22
17,44.02
18,13.56
19,19.47
20,40.84
21,31.16
22,34.95
23,30.48
24,46.69
25,38.93
26,14.33
27,30.58
28,37.15
29,19.16
30,19.62
31,17.43
32,15.66
33,27.32
34,35.85
35,13.34
36,62.3
37,42.2
38,51.06
39,44.8
40,29.65
41,39.83
42,22.47
43,35.68
44,15.15
45,17.46
46,29.23
47,46.54
48,16.62
49,32.91
50,34.49
51,20.17
52,31.79
53,32.03
54,22.65
55,33.82
56,21.69
57,33.59
58,28.95
59,14.71
