task,cost
0,30.61
1,32.97
2,45.66
3,42.93
4,18.5
5,26.05
6,14.34
7,31.68
8,13.16
9,28.0
10,43.88
11,29.18
12,35.54
13,26.45
14,50.16
15,53.95
16,29.14
17,10.92
18,40.4
19,34.75
20,24.58
21,57.36
22,17.89
23,54.8
24,16.08
25,24.8
26,16.29
27,38.76
28,21.78
29,14.27
30,27.03
31,28.49
32,17.05
33,41.46
34,12.2
35,34.51
36,53.58
37,57.54
38,25.87
39,40.63
40,34.22
41,30.77
42,13.87
43,39.45
44,13.97
45,17.96
46,43.51
47,15.18
48,35.29
49,33.03
50,12.92
51,15.87
52,27.03
53,30.74
54,26.51
55,34.97
56,31.47
57,28.34
58,24.88
59,44.31
