task,cost
0,34.37
1,14.92
2,24.77
3,18.03
4,30.51
5,37.05
6,39.71
7,45.94
8,42.5
9,19.94
10,50.46
11,48.34
12,28.19
13,40.19
14,25.6
15,19.21
16,13.31
17,32.56
18,22.62
19,45.27
20,41.9
21,28.13
22,35.83
23,37.95
24,14.82
25,26.1
26,39.46
27,38.04
28,40.03
29,22.39
30,16.02
31,40.44
32,7.95
33,19.78
34,18.14
35,44.49
36,18.16
37,26.03
38,35.58
39,22.36
40,25.91
41,38.43
42,43.64
43,36.43
44,11.34
45,43.14
46,16.35
47,12.36
48,53.17
49,18.36
50,34.23
51,8.73
52,25.63
53,13.02
54,18.39
55,28.74
56,11.32
57,46.33
58,18.94
59,38.58
