task,cost
0,13.14
1,22.81
2,33.59
3,13.6
4,30.25
5,35.12
6,26.05
7,36.79
8,38.49
9,23.7
10,51.62
11,39.92
12,37.66
13,32.11
14,42.39
15,17.36
16,31.55
17,17.82
18,17.66
19,26.06
20,29.44
21,28.06
22,45.45
23,28.51
24,19.43
25,34.34
26,42.5
27,19.09
28,39.93
29,40.43
30,29.45
31,37.45
32,39.28
33,13.47
34,42.81
35,40.0
36,33.63
37,48.97
38,24.69
39,20.96
40,10.24
41,14.45
42,28.56
43,17.68
44,42.47
45,21.72
46,20.14
47,47.82
48,28.15
49,25.08
50,12.53
51,22.59
52,34.95
53,25.38
54,41.95
55,30.75
56,22.1
57,28.64
58,33.53
59,38.54
60,50.24
61,26.52
62,18.38
63,13.69
64,50.92
65,38.29
66,32.85
67,34.79
68,25.74
69,44.46
70,47.14
71,25.12
72,40.48
73,12.75
74,29.8
75,36.94
76,50.41
77,22.35
78,36.58
79,17.11
80,37.71
81,32.7
82,26.49
83,54.73
84,28.59
85,33.1
86,19.34
87,26.66
88,59.51
89,39.99
90,20.16
91,55.02
92,27.92
93,38.51
94,28.19
95,24.64
96,35.46
97,34.02
98,47.22
99,11.96
