task,cost
0,50.25
1,34.09
2,21.62
3,57.2
4,55.12
5,10.72
6,16.05
7,17.57
8,30.01
9,21.79
10,15.1
11,32.26
12,24.23
13,26.27
14,28.43
15,24.64
16,27.34
17,16.66
18,48.3
19,56.65
20,17.65
21,38.63
22,27.9
23,44.07
24,26.18
25,15.06
26,21.48
27,25.29
28,40.63
29,36.51
30,10.42
31,47.43
32,36.1
33,46.15
34,17.46
35,28.45
36,18.1
37,26.89
38,35.22
39,53.54
40,26.17
41,38.91
42,25.88
43,34.28
44,27.64
45,36.49
46,33.71
47,44.78
48,31.62
49,15.76
50,60.13
51,22.17
52,38.71
53,38.72
54,25.02
55,18.45
56,36.2
57,33.89
58,12.63
59,40.98
60,10.44
61,53.04
62,13.38
63,49.26
64,15.69
65,55.43
66,11.34
67,44.8
68,17.7
69,23.83
70,41.39
71,25.23
72,16.47
73,37.14
74,17.57
75,29.53
76,29.9
77,39.71
78,42.42
79,10.53
80,30.19
81,19.7
82,31.09
83,44.13
84,27.42
85,48.68
86,15.75
87,15.32
88,26.0
89,38.76
90,34.39
91,35.25
92,37.29
93,12.22
94,47.48
95,35.95
96,31.31
97,48.59
98,23.63
99,58.07
