task,cost
0,42.14
1,37.26
2,48.86
3,50.74
4,48.08
5,15.17
6,17.94
7,44.78
8,23.38
9,18.87
10,44.33
11,52.28
12,13.09
13,14.45
14,51.65
15,9.62
16,14.22
17,14.39
18,12.11
19,22.46
20,30.26
21,31.45
22,14.55
23,18.62
24,24.61
25,16.25
26,25.12
27,37.35
28,28.15
29,24.78
30,19.46
31,19.63
32,50.37
33,33.36
34,14.63
35,35.73
36,30.35
37,17.92
38,31.47
39,17.28
40,32.66
41,32.39
42,40.44
43,9.55
44,46.62
45,29.41
46,26.45
47,44.83
48,23.27
49,38.09
50,44.83
51,13.9
52,49.47
53,11.74
54,41.03
55,19.84
56,31.96
57,16.95
58,20.92
59,16.51
