task,cost
0,44.37
1,42.68
2,17.64
3,22.83
4,35.87
5,19.7
6,40.28
7,12.79
8,29.06
9,50.17
10,33.19
11,25.86
12,20.97
13,22.92
14,10.84
15,47.0
16,11.66
17,42.07
18,21.62
19,22.97
20,35.13
21,37.84
22,51.33
23,53.13
24,18.38
25,31.78
26,51.83
27,33.91
28,49.28
29,8.52
30,11.0
31,27.06
32,35.09
33,43.88
34,33.88
35,13.34
36,50.39
37,27.79
38,38.46
39,35.86
40,27.21
41,39.71
42,59.69
43,14.39
44,33.91
45,53.0
46,30.03
47,43.25
48,40.19
49,43.3
50,34.12
51,27.43
52,38.39
53,44.64
54,40.24
55,29.42
56,16.09
57,17.88
58,27.17
59,36.41
60,30.85
61,28.43
62,27.62
63,41.33
64,9.95
65,24.27
66,16.94
67,27.14
68,38.45
69,36.73
70,50.41
71,21.97
72,9.57
73,38.59
74,39.7
75,39.07
76,12.4
77,19.86
78,36.48
79,11.4
80,17.32
81,33.92
82,17.62
83,31.01
84,15.5
85,16.92
86,14.18
87,36.8
88,35.5
89,11.62
