task,cost
0,20.51
1,23.44
2,33.37
3,31.07
4,49.33
5,36.99
6,29.31
7,13.39
8,15.92
9,19.84
10,45.87
11,25.16
12,11.32
13,9.22
14,51.03
15,49.03
16,30.35
17,48.49
18,36.53
19,55.83
20,31.32
21,30.09
22,30.66
23,32.55
24,39.5
25,25.34
26,24.8
27,42.63
28,36.49
29,44.7
30,22.34
31,36.65
32,15.18
33,51.08
34,38.47
35,39.62
36,28.03
37,25.54
38,33.15
39,40.11
40,40.47
41,7.96
42,17.48
43,36.58
44,22.0
45,35.61
46,29.12
47,11.34
48,41.36
49,18.58
50,37.42
51,21.4
52,11.36
53,47.56
54,37.41
55,11.41
56,43.51
57,22.71
58,25.0
59,15.87
60,19.05
61,19.83
62,30.72
63,35.54
64,40.52
65,23.55
66,18.69
67,36.7
68,33.22
69,26.1
