task,cost
0,41.28
1,16.56
2,19.66
3,34.7
4,13.18
5,46.98
6,24.08
7,9.15
8,32.68
9,28.42
10,12.35
11,30.6
12,13.71
13,35.46
14,42.63
15,22.36
16,16.78
17,41.05
18,19.21
19,35.91
20,53.46
21,16.75
22,18.36
23,43.37
24,33.1
25,34.62
26,22.71
27,34.17
28,45.01
29,32.49
30,41.66
31,45.79
32,40.4
33,43.8
34,13.61
35,11.26
36,11.2
37,45.79
38,38.87
39,47.42
40,12.02
41,29.84
42,18.45
43,51.71
44,53.05
45,25.8
46,29.89
47,39.12
48,26.3
49,46.29
50,29.81
51,34.82
52,15.1
53,21.6
54,49.64
55,42.63
56,10.58
57,15.37
58,52.11
59,36.84
