task,cost
0,21.36
1,40.11
2,10.74
3,11.84
4,21.66
5,15.76
6,34.97
7,14.39
8,25.18
9,29.02
10,47.33
11,30.8
12,17.57
13,15.75
14,20.3
15,21.38
16,55.04
17,13.75
18,8.33
19,38.37
20,30.45
21,34.82
22,31.58
23,38.48
24,32.37
25,22.38
26,41.57
27,19.17
28,14.75
29,38.5
30,15.42
31,47.98
32,25.86
33,38.78
34,22.61
35,38.96
36,34.21
37,10.42
38,9.92
39,52.92
40,33.12
41,25.97
42,39.78
43,53.96
44,42.63
45,47.9
46,12.85
47,15.78
48,43.86
49,31.03
50,38.38
51,36.63
52,12.5
53,47.6
54,19.76
55,22.45
56,26.29
57,38.84
58,12.96
59,56.26
60,28.13
61,39.57
62,49.77
63,9.81
64,10.47
65,32.96
66,39.13
67,22.05
68,13.86
69,28.33
70,47.16
71,18.86
72,20.71
73,48.5
74,39.79
75,54.75
76,29.49
77,23.1
78,43.93
79,18.25
80,57.53
81,26.55
82,29.42
83,16.97
84,30.43
85,46.94
86,36.71
87,12.99
88,32.36
89,56.69
