src,dst,comm
0,14,6
0,9,5
1,17,1
1,23,7
1,30,4
2,4,9
2,28,2
2,34,10
3,12,5
3,18,5
3,10,4
3,29,8
4,31,2
4,29,1
4,28,2
5,31,6
6,9,9
6,8,10
7,14,7
7,33,4
7,29,4
7,21,10
8,10,7
9,33,6
9,17,7
9,22,1
9,38,6
10,20,3
10,25,10
11,39,6
11,16,9
11,38,5
11,12,1
12,23,6
12,32,9
13,36,4
13,28,9
14,36,9
14,37,4
14,29,8
15,30,2
15,39,7
15,38,6
15,31,1
16,21,3
17,26,3
17,37,9
17,25,6
18,38,3
18,25,7
18,21,3
18,27,1
19,31,4
20,27,1
20,23,4
21,22,5
21,23,6
21,31,9
21,34,4
22,25,5
22,33,4
23,29,10
23,30,2
23,35,9
24,29,2
24,37,3
25,28,5
25,31,2
26,33,4
26,27,3
26,36,2
26,39,4
27,28,2
28,35,3
29,33,6
29,34,9
29,31,1
30,33,1
30,39,4
30,34,4
31,35,8
32,37,3
32,38,7
32,33,3
33,35,7
34,35,4
35,37,6
35,36,6
36,37,10
36,38,10
37,38,4
37,39,4
38,39,6
