task,cost
0,22.2
1,11.48
2,47.97
3,47.36
4,17.21
5,14.35
6,37.69
7,34.91
8,38.46
9,26.97
10,23.05
11,39.59
12,26.62
13,44.09
14,21.26
15,30.99
16,21.93
17,41.91
18,61.87
19,27.12
20,52.93
21,34.67
22,42.74
23,38.65
24,27.6
25,38.32
26,25.45
27,55.71
28,24.23
29,13.0
30,34.45
31,31.38
32,37.62
33,55.0
34,21.59
35,49.07
36,28.88
37,21.79
38,32.27
39,23.2
40,29.02
41,46.18
42,12.05
43,41.79
44,16.29
45,26.41
46,27.47
47,30.09
48,23.31
49,40.74
50,58.03
51,24.39
52,19.54
53,33.46
54,18.05
55,27.86
56,25.87
57,33.45
58,13.31
59,29.79
60,24.21
61,51.02
62,44.66
63,12.8
64,13.37
65,30.46
66,57.93
67,14.69
68,38.61
69,27.82
