task,cost
0,52.96
1,12.91
2,18.68
3,38.8
4,46.69
5,35.68
6,40.14
7,29.65
8,14.39
9,30.69
10,11.85
11,22.58
12,52.96
13,26.38
14,13.08
15,44.76
16,14.47
17,16.7
18,30.0
19,47.82
20,25.62
21,24.59
22,11.61
23,31.12
24,43.89
25,42.15
26,14.65
27,38.88
28,35.44
29,30.98
30,33.84
31,14.03
32,38.65
33,19.67
34,13.72
35,8.98
36,33.03
37,14.84
38,43.24
39,13.13
40,24.59
41,31.88
42,23.26
43,22.94
44,38.41
45,15.86
46,32.8
47,10.89
48,39.53
49,19.06
50,18.55
51,17.29
52,10.39
53,51.31
54,51.32
55,39.0
56,9.18
57,27.36
58,60.16
59,10.56
60,18.11
61,23.58
62,12.11
63,11.7
64,21.65
65,35.88
66,44.12
67,10.99
68,17.82
69,54.94
70,29.65
71,33.1
72,37.98
73,42.85
74,23.07
75,24.07
76,20.47
77,17.05
78,18.27
79,41.24
