task,cost
0,39.51
1,29.55
2,42.14
3,27.42
4,25.1
5,35.51
6,19.67
7,38.4
8,53.56
9,22.04
10,29.99
11,14.33
12,41.52
13,23.59
14,32.38
15,14.35
16,46.45
17,43.84
18,36.72
19,8.75
20,11.96
21,12.62
22,20.91
23,27.29
24,17.71
25,41.6
26,44.68
27,37.24
28,30.51
29,33.67
30,14.8
31,44.97
32,15.52
33,14.25
34,39.26
35,34.84
36,17.47
37,29.04
38,11.8
39,23.74
40,33.28
41,35.79
42,49.56
43,48.31
44,16.6
45,44.78
46,20.48
47,32.56
48,46.34
49,23.16
50,39.55
51,40.17
52,7.97
53,41.06
54,21.35
55,28.09
56,17.91
57,26.97
58,37.8
59,24.05
60,24.85
61,31.14
62,35.91
63,47.9
64,32.12
65,22.18
66,19.9
67,15.81
68,23.13
69,33.89
