task,cost
0,16.52
1,34.81
2,38.39
3,31.67
4,46.05
5,17.44
6,34.5
7,36.41
8,30.5
9,60.16
10,11.53
11,50.18
12,23.77
13,16.99
14,13.14
15,60.11
16,24.01
17,50.06
18,23.55
19,29.98
20,18.01
21,13.94
22,18.05
23,46.67
24,25.57
25,27.84
26,21.9
27,51.56
28,45.64
29,34.07
30,13.25
31,18.05
32,25.54
33,19.47
34,32.71
35,26.12
36,58.4
37,18.08
38,12.49
39,28.9
40,9.93
41,59.83
42,25.53
43,48.46
44,14.17
45,29.64
46,24.2
47,33.8
48,13.48
49,46.32
50,37.51
51,12.12
52,48.67
53,37.86
54,23.68
55,25.02
56,39.04
57,38.45
58,31.17
59,14.35
60,15.5
61,38.15
62,36.52
63,35.48
64,22.99
65,30.66
66,20.84
67,38.52
68,32.83
69,39.58
70,41.43
71,39.62
72,45.27
73,30.88
74,41.22
75,20.49
76,15.8
77,43.32
78,30.05
79,24.25
80,53.22
81,22.63
82,52.53
83,26.64
84,17.16
85,47.1
86,48.65
87,14.09
88,51.56
89,37.25
