task,cost
0,54.85
1,34.54
2,22.67
3,33.87
4,20.73
5,34.71
6,35.88
7,48.26
8,53.21
9,41.08
10,15.56
11,33.93
12,9.51
13,30.13
14,41.5
15,38.38
16,19.71
17,34.04
18,46.85
19,41.02
20,40.08
21,19.04
22,31.82
23,13.68
24,22.41
25,37.11
26,25.65
27,12.23
28,35.41
29,11.66
30,16.93
31,13.25
32,50.12
33,24.92
34,21.89
35,37.87
36,27.61
37,27.43
38,40.53
39,37.29
40,15.62
41,16.82
42,32.77
43,15.65
44,15.02
45,17.08
46,29.65
47,31.34
48,15.27
49,19.25
50,24.49
51,37.46
52,33.94
53,17.1
54,20.09
55,31.07
56,21.91
57,41.0
58,14.57
59,58.12
60,22.45
61,38.01
62,42.87
63,44.08
64,38.49
65,51.5
66,43.45
67,18.88
68,31.74
69,24.14
70,31.01
71,51.5
72,40.37
73,22.45
74,11.76
75,47.38
76,28.51
77,28.07
78,35.16
79,47.38
