task,cost
0,37.72
1,30.76
2,17.54
3,16.56
4,8.23
5,28.47
6,22.56
7,25.1
8,35.26
9,20.23
10,15.97
11,15.52
12,32.85
13,13.58
14,22.0
15,9.24
16,29.82
17,18.39
18,19.87
19,43.96
20,45.55
21,11.34
22,25.93
23,42.53
24,49.29
25,13.44
26,21.28
27,34.08
28,48.17
29,17.53
30,29.56
31,10.39
32,48.27
33,46.19
34,11.04
35,34.66
36,48.45
37,18.28
38,29.55
39,45.93
40,52.17
41,21.37
42,37.83
43,28.49
44,12.86
45,31.93
46,16.82
47,22.11
48,50.77
49,19.5
50,35.68
51,46.27
52,35.38
53,15.88
54,52.91
55,15.76
56,32.47
57,11.94
58,33.2
59,46.9
