task,cost
0,20.55
1,30.39
2,28.05
3,21.62
4,14.48
5,41.66
6,37.69
7,31.8
8,19.85
9,19.36
10,13.09
11,22.78
12,23.58
13,29.25
14,28.57
15,33.6
16,28.55
17,16.82
18,31.46
19,21.81
20,17.57
21,35.45
22,33.43
23,20.14
24,21.86
25,16.5
26,26.48
27,19.07
28,35.1
29,25.93
30,17.35
31,12.34
32,30.88
33,39.47
34,56.29
35,40.47
36,15.6
37,47.5
38,26.34
39,27.77
40,47.47
41,40.45
42,11.76
43,26.59
44,46.3
45,22.61
46,30.66
47,22.25
48,53.71
49,54.92
50,26.41
51,10.84
52,24.87
53,22.03
54,10.6
55,23.98
56,21.2
57,51.24
58,16.4
59,29.38
60,19.98
61,28.46
62,29.56
63,49.88
64,22.03
65,37.02
66,21.17
67,11.43
68,33.0
69,32.79
70,27.15
71,39.62
72,34.29
73,12.47
74,43.16
75,36.78
76,22.47
77,16.69
78,36.03
79,48.66
80,14.24
81,36.23
82,51.24
83,20.4
84,48.71
85,35.02
86,17.07
87,43.31
88,34.8
89,25.25
90,12.51
91,34.93
92,16.31
93,15.66
94,11.09
95,26.51
96,38.45
97,10.86
98,20.29
99,43.04
